plot,site,system_category
STREATHAM_S3_P1234_R2,STREATHAM,More pulses
STREATHAM_S6.2_P1231_R2,STREATHAM,Pasture 1/3 (PastMix2)
STREATHAM_S12_P0000_R4,STREATHAM,Responsive: Enhance soil health
STREATHAM_S9.1_P2121_R3,STREATHAM,Intercropping (Nil N intercrop)
STREATHAM_S13_P0000_R1,STREATHAM,Responsive: Persistent pasture
STREATHAM_S9.2_P1212_R1,STREATHAM,Intercropping (Half N intercrop)
STREATHAM_S2.4_P3412_R2,STREATHAM,Pulse-canola (TOS1 & High N)
STREATHAM_S6.2_P3123_R3,STREATHAM,Pasture 1/3 (PastMix2)
STREATHAM_S12_P0000_R7,STREATHAM,Responsive: Enhance soil health
STREATHAM_S2.1_P2341_R3,STREATHAM,Pulse-canola (TOS1 & Low N)
STREATHAM_S9.2_P2121_R3,STREATHAM,Intercropping (Half N intercrop)
STREATHAM_S2.4_P1234_R1,STREATHAM,Pulse-canola (TOS1 & High N)
STREATHAM_S2.4_P2341_R3,STREATHAM,Pulse-canola (TOS1 & High N)
STREATHAM_S1.1_P1212_R1,STREATHAM,Baseline (TOS1 & Low N)
STREATHAM_S11_P0000_R3,STREATHAM,Responsive: Adviser (risk-neutral)
STREATHAM_S2.4_P4123_R2,STREATHAM,Pulse-canola (TOS1 & High N)
STREATHAM_S1.3_P1212_R1,STREATHAM,Baseline (TOS2 & Mid N)
STREATHAM_S6.2_P3123_R1,STREATHAM,Pasture 1/3 (PastMix2)
STREATHAM_S2.4_P2341_R2,STREATHAM,Pulse-canola (TOS1 & High N)
STREATHAM_S6.1_P1231_R1,STREATHAM,Pasture 1/3 (PastMix1)
STREATHAM_S7_P4123_R3,STREATHAM,Pasture 2/4
STREATHAM_S9.1_P1212_R2,STREATHAM,Intercropping (Nil N intercrop)
STREATHAM_S12_P0000_R3,STREATHAM,Responsive: Enhance soil health
STREATHAM_S2.2_P3412_R2,STREATHAM,Pulse-canola (TOS1 & Mid N)
STREATHAM_S9.2_P1212_R2,STREATHAM,Intercropping (Half N intercrop)
STREATHAM_S8_P1231_R3,STREATHAM,Winter cover cropping
STREATHAM_S13_P0000_R4,STREATHAM,Responsive: Persistent pasture
STREATHAM_S3_P4123_R1,STREATHAM,More pulses
STREATHAM_S1.1_P2121_R1,STREATHAM,Baseline (TOS1 & Low N)
STREATHAM_S5_P3123_R1,STREATHAM,More cereals
STREATHAM_S9.1_P1212_R1,STREATHAM,Intercropping (Nil N intercrop)
STREATHAM_S2.4_P2341_R1,STREATHAM,Pulse-canola (TOS1 & High N)
STREATHAM_S2.3_P1234_R2,STREATHAM,Pulse-canola (TOS2 & Mid N)
STREATHAM_S3_P1234_R1,STREATHAM,More pulses
STREATHAM_S1.4_P1212_R2,STREATHAM,Baseline (TOS1 & High N)
STREATHAM_S9.2_P1212_R3,STREATHAM,Intercropping (Half N intercrop)
STREATHAM_S7_P1234_R2,STREATHAM,Pasture 2/4
STREATHAM_S2.4_P3412_R3,STREATHAM,Pulse-canola (TOS1 & High N)
STREATHAM_S10_P2121_R1,STREATHAM,Companion cropping frequent
STREATHAM_S11_P0000_R4,STREATHAM,Responsive: Adviser (risk-neutral)
STREATHAM_S2.1_P2341_R1,STREATHAM,Pulse-canola (TOS1 & Low N)
STREATHAM_S5_P1231_R1,STREATHAM,More cereals
STREATHAM_S5_P1231_R2,STREATHAM,More cereals
STREATHAM_S2.1_P1234_R2,STREATHAM,Pulse-canola (TOS1 & Low N)
STREATHAM_S7_P3412_R2,STREATHAM,Pasture 2/4
STREATHAM_S12_P0000_R5,STREATHAM,Responsive: Enhance soil health
STREATHAM_S5_P1231_R3,STREATHAM,More cereals
STREATHAM_S2.3_P2341_R1,STREATHAM,Pulse-canola (TOS2 & Mid N)
STREATHAM_S2.4_P1234_R3,STREATHAM,Pulse-canola (TOS1 & High N)
STREATHAM_S10_P1212_R1,STREATHAM,Companion cropping frequent
STREATHAM_S3_P4123_R2,STREATHAM,More pulses
STREATHAM_S1.1_P2121_R3,STREATHAM,Baseline (TOS1 & Low N)
STREATHAM_S4_P3123_R1,STREATHAM,Hay
STREATHAM_S2.2_P1234_R2,STREATHAM,Pulse-canola (TOS1 & Mid N)
STREATHAM_S1.3_P2121_R1,STREATHAM,Baseline (TOS2 & Mid N)
STREATHAM_S4_P3123_R3,STREATHAM,Hay
STREATHAM_S2.2_P3412_R1,STREATHAM,Pulse-canola (TOS1 & Mid N)
STREATHAM_S1.2_P1212_R2,STREATHAM,Baseline (TOS1 & Mid N)
STREATHAM_S1.3_P1212_R3,STREATHAM,Baseline (TOS2 & Mid N)
STREATHAM_S6.2_P2312_R3,STREATHAM,Pasture 1/3 (PastMix2)
STREATHAM_S6.2_P3123_R2,STREATHAM,Pasture 1/3 (PastMix2)
STREATHAM_S9.1_P1212_R3,STREATHAM,Intercropping (Nil N intercrop)
STREATHAM_S2.1_P4123_R3,STREATHAM,Pulse-canola (TOS1 & Low N)
STREATHAM_S4_P2312_R3,STREATHAM,Hay
STREATHAM_S10_P2121_R2,STREATHAM,Companion cropping frequent
STREATHAM_S7_P3412_R1,STREATHAM,Pasture 2/4
STREATHAM_S12_P0000_R8,STREATHAM,Responsive: Enhance soil health
STREATHAM_S3_P3412_R3,STREATHAM,More pulses
STREATHAM_S7_P2341_R2,STREATHAM,Pasture 2/4
STREATHAM_S7_P2341_R1,STREATHAM,Pasture 2/4
STREATHAM_S1.4_P1212_R1,STREATHAM,Baseline (TOS1 & High N)
STREATHAM_S2.3_P3412_R1,STREATHAM,Pulse-canola (TOS2 & Mid N)
STREATHAM_S2.3_P1234_R3,STREATHAM,Pulse-canola (TOS2 & Mid N)
STREATHAM_S9.1_P2121_R1,STREATHAM,Intercropping (Nil N intercrop)
STREATHAM_S2.1_P3412_R1,STREATHAM,Pulse-canola (TOS1 & Low N)
STREATHAM_S7_P3412_R3,STREATHAM,Pasture 2/4
STREATHAM_S3_P2341_R2,STREATHAM,More pulses
STREATHAM_S2.2_P2341_R1,STREATHAM,Pulse-canola (TOS1 & Mid N)
STREATHAM_S8_P1231_R2,STREATHAM,Winter cover cropping
STREATHAM_S1.4_P2121_R3,STREATHAM,Baseline (TOS1 & High N)
STREATHAM_S11_P0000_R6,STREATHAM,Responsive: Adviser (risk-neutral)
STREATHAM_S7_P4123_R1,STREATHAM,Pasture 2/4
STREATHAM_S2.2_P4123_R1,STREATHAM,Pulse-canola (TOS1 & Mid N)
STREATHAM_S11_P0000_R2,STREATHAM,Responsive: Adviser (risk-neutral)
STREATHAM_S2.3_P3412_R2,STREATHAM,Pulse-canola (TOS2 & Mid N)
STREATHAM_S3_P3412_R2,STREATHAM,More pulses
STREATHAM_S6.2_P1231_R3,STREATHAM,Pasture 1/3 (PastMix2)
STREATHAM_S2.3_P2341_R2,STREATHAM,Pulse-canola (TOS2 & Mid N)
STREATHAM_S9.2_P2121_R1,STREATHAM,Intercropping (Half N intercrop)
STREATHAM_S1.4_P2121_R1,STREATHAM,Baseline (TOS1 & High N)
STREATHAM_S1.4_P1212_R3,STREATHAM,Baseline (TOS1 & High N)
STREATHAM_S12_P0000_R2,STREATHAM,Responsive: Enhance soil health
STREATHAM_S1.2_P2121_R3,STREATHAM,Baseline (TOS1 & Mid N)
STREATHAM_S2.4_P1234_R2,STREATHAM,Pulse-canola (TOS1 & High N)
STREATHAM_S2.1_P1234_R3,STREATHAM,Pulse-canola (TOS1 & Low N)
STREATHAM_S9.3_P2121_R2,STREATHAM,Intercropping (Full N intercrop)
STREATHAM_S1.4_P2121_R2,STREATHAM,Baseline (TOS1 & High N)
STREATHAM_S7_P4123_R2,STREATHAM,Pasture 2/4
STREATHAM_S6.2_P2312_R1,STREATHAM,Pasture 1/3 (PastMix2)
STREATHAM_S2.1_P3412_R2,STREATHAM,Pulse-canola (TOS1 & Low N)
STREATHAM_S2.2_P4123_R3,STREATHAM,Pulse-canola (TOS1 & Mid N)
STREATHAM_S9.3_P1212_R3,STREATHAM,Intercropping (Full N intercrop)
STREATHAM_S8_P2312_R3,STREATHAM,Winter cover cropping
STREATHAM_S2.4_P4123_R1,STREATHAM,Pulse-canola (TOS1 & High N)
STREATHAM_S2.2_P2341_R2,STREATHAM,Pulse-canola (TOS1 & Mid N)
STREATHAM_S1.2_P1212_R1,STREATHAM,Baseline (TOS1 & Mid N)
STREATHAM_S13_P0000_R5,STREATHAM,Responsive: Persistent pasture
STREATHAM_S8_P3123_R3,STREATHAM,Winter cover cropping
STREATHAM_S2.3_P4123_R3,STREATHAM,Pulse-canola (TOS2 & Mid N)
MANANG_S1.2_P2312_R2,MANANG,Baseline (Dec 5 N)
MANANG_S1.2_P3123_R2,MANANG,Baseline (Dec 5 N)
MANANG_S11_P1212_R3,MANANG,Companion cropping frequent
MANANG_S10.2_P3123_R1,MANANG,Companion cropping (Dec 5 N ntercrop)
MANANG_S8.1_P3123_R1,MANANG,Winter cover cropping (Early TOT)
MANANG_S7_P1231_R3,MANANG,Fallow
MANANG_S1.1_P3123_R1,MANANG,Baseline (SDP N)
MANANG_S8.2_P3123_R3,MANANG,Winter cover cropping (Late TOT)
MANANG_S10.2_P2312_R3,MANANG,Companion cropping (Dec 5 N ntercrop)
MANANG_S1.2_P1231_R2,MANANG,Baseline (Dec 5 N)
MANANG_S9_P3123_R2,MANANG,Hay
MANANG_S12_P0000_R1,MANANG,Responsive: Adviser (risk-neutral)
MANANG_S1.3_P3123_R2,MANANG,Baseline (Dec 9 N)
MANANG_S10.1_P1231_R2,MANANG,Companion cropping (Nil N intercrop)
MANANG_S11_P1212_R2,MANANG,Companion cropping frequent
MANANG_S1.1_P3123_R3,MANANG,Baseline (SDP N)
MANANG_S11_P2121_R3,MANANG,Companion cropping frequent
MANANG_S1.1_P2312_R1,MANANG,Baseline (SDP N)
MANANG_S1.1_P1231_R1,MANANG,Baseline (SDP N)
MANANG_S3_P1231_R2,MANANG,Pulse on pulse
MANANG_S12_P0000_R6,MANANG,Responsive: Adviser (risk-neutral)
MANANG_S7_P1231_R2,MANANG,Fallow
MANANG_S10.1_P3123_R3,MANANG,Companion cropping (Nil N intercrop)
MANANG_S8.1_P1231_R3,MANANG,Winter cover cropping (Early TOT)
MANANG_S5_P3412_R1,MANANG,More cereals
MANANG_S10.1_P1231_R1,MANANG,Companion cropping (Nil N intercrop)
MANANG_S7_P3123_R2,MANANG,Fallow
MANANG_S13_P0000_R9,MANANG,Responsive: N bank
MANANG_S1.1_P1231_R2,MANANG,Baseline (SDP N)
MANANG_S7_P2312_R3,MANANG,Fallow
MANANG_S5_P1234_R1,MANANG,More cereals
MANANG_S3_P1231_R3,MANANG,Pulse on pulse
MANANG_S4_P4123_R2,MANANG,Pulse-canola
MANANG_S5_P1234_R3,MANANG,More cereals
MANANG_S8.2_P2312_R2,MANANG,Winter cover cropping (Late TOT)
MANANG_S9_P2312_R1,MANANG,Hay
MANANG_S6_P1111_R5,MANANG,Continous wheat
MANANG_S12_P0000_R3,MANANG,Responsive: Adviser (risk-neutral)
MANANG_S5_P4123_R3,MANANG,More cereals
MANANG_S10.2_P1231_R3,MANANG,Companion cropping (Dec 5 N ntercrop)
MANANG_S1.3_P3123_R1,MANANG,Baseline (Dec 9 N)
MANANG_S1.3_P1231_R1,MANANG,Baseline (Dec 9 N)
MANANG_S10.1_P1231_R3,MANANG,Companion cropping (Nil N intercrop)
MANANG_S4_P1234_R1,MANANG,Pulse-canola
MANANG_S8.1_P3123_R2,MANANG,Winter cover cropping (Early TOT)
MANANG_S10.2_P3123_R3,MANANG,Companion cropping (Dec 5 N ntercrop)
MANANG_S9_P1231_R2,MANANG,Hay
MANANG_S7_P2312_R1,MANANG,Fallow
MANANG_S5_P1234_R2,MANANG,More cereals
MANANG_S5_P4123_R1,MANANG,More cereals
MANANG_S8.1_P2312_R3,MANANG,Winter cover cropping (Early TOT)
MANANG_S13_P0000_R1,MANANG,Responsive: N bank
MANANG_S3_P3123_R1,MANANG,Pulse on pulse
MANANG_S6_P1111_R2,MANANG,Continous wheat
MANANG_S1.1_P1231_R3,MANANG,Baseline (SDP N)
MANANG_S10.2_P1231_R1,MANANG,Companion cropping (Dec 5 N ntercrop)
MANANG_S9_P1231_R3,MANANG,Hay
MANANG_S9_P3123_R1,MANANG,Hay
MANANG_S2_P1212_R2,MANANG,More pulses
MANANG_S8.2_P1231_R2,MANANG,Winter cover cropping (Late TOT)
MANANG_S1.3_P1231_R3,MANANG,Baseline (Dec 9 N)
MANANG_S10.2_P1231_R2,MANANG,Companion cropping (Dec 5 N ntercrop)
MANANG_S1.2_P1231_R3,MANANG,Baseline (Dec 5 N)
MANANG_S8.2_P2312_R1,MANANG,Winter cover cropping (Late TOT)
MANANG_S11_P2121_R1,MANANG,Companion cropping frequent
MANANG_S10.2_P3123_R2,MANANG,Companion cropping (Dec 5 N ntercrop)
MANANG_S1.1_P3123_R2,MANANG,Baseline (SDP N)
MANANG_S5_P2341_R3,MANANG,More cereals
MANANG_S8.2_P3123_R1,MANANG,Winter cover cropping (Late TOT)
MANANG_S10.1_P3123_R2,MANANG,Companion cropping (Nil N intercrop)
MANANG_S8.1_P1231_R2,MANANG,Winter cover cropping (Early TOT)
MANANG_S1.1_P2312_R2,MANANG,Baseline (SDP N)
MANANG_S3_P1231_R1,MANANG,Pulse on pulse
MANANG_S5_P3412_R2,MANANG,More cereals
MANANG_S3_P2312_R2,MANANG,Pulse on pulse
MANANG_S7_P3123_R3,MANANG,Fallow
MANANG_S1.2_P2312_R3,MANANG,Baseline (Dec 5 N)
MANANG_S4_P3412_R1,MANANG,Pulse-canola
MANANG_S4_P4123_R1,MANANG,Pulse-canola
MANANG_S4_P2341_R2,MANANG,Pulse-canola
MANANG_S8.1_P1231_R1,MANANG,Winter cover cropping (Early TOT)
MANANG_S4_P1234_R2,MANANG,Pulse-canola
MANANG_S13_P0000_R6,MANANG,Responsive: N bank
MANANG_S4_P4123_R3,MANANG,Pulse-canola
MANANG_S5_P3412_R3,MANANG,More cereals
MANANG_S1.3_P3123_R3,MANANG,Baseline (Dec 9 N)
MANANG_S6_P1111_R1,MANANG,Continous wheat
MANANG_S3_P3123_R2,MANANG,Pulse on pulse
MANANG_S3_P2312_R1,MANANG,Pulse on pulse
MANANG_S12_P0000_R7,MANANG,Responsive: Adviser (risk-neutral)
MANANG_S8.2_P1231_R1,MANANG,Winter cover cropping (Late TOT)
MANANG_S4_P1234_R3,MANANG,Pulse-canola
MANANG_S8.2_P2312_R3,MANANG,Winter cover cropping (Late TOT)
MANANG_S10.2_P2312_R1,MANANG,Companion cropping (Dec 5 N ntercrop)
MANANG_S6_P1111_R4,MANANG,Continous wheat
MANANG_S4_P2341_R1,MANANG,Pulse-canola
MANANG_S12_P0000_R9,MANANG,Responsive: Adviser (risk-neutral)
MANANG_S3_P3123_R3,MANANG,Pulse on pulse
MANANG_S1.2_P2312_R1,MANANG,Baseline (Dec 5 N)
MANANG_S1.3_P2312_R1,MANANG,Baseline (Dec 9 N)
MANANG_S8.1_P3123_R3,MANANG,Winter cover cropping (Early TOT)
MANANG_S1.3_P2312_R2,MANANG,Baseline (Dec 9 N)
MANANG_S8.1_P2312_R2,MANANG,Winter cover cropping (Early TOT)
MANANG_S12_P0000_R5,MANANG,Responsive: Adviser (risk-neutral)
MANANG_S5_P2341_R2,MANANG,More cereals
MANANG_S7_P2312_R2,MANANG,Fallow
MANANG_S4_P2341_R3,MANANG,Pulse-canola
MANANG_S9_P2312_R3,MANANG,Hay
MANANG_S1.3_P2312_R3,MANANG,Baseline (Dec 9 N)
MANANG_S10.2_P2312_R2,MANANG,Companion cropping (Dec 5 N ntercrop)
MANANG_S10.1_P2312_R3,MANANG,Companion cropping (Nil N intercrop)
MANANG_S11_P1212_R1,MANANG,Companion cropping frequent
MANANG_S9_P1231_R1,MANANG,Hay
MANANG_S13_P0000_R5,MANANG,Responsive: N bank
MANANG_S2_P1212_R3,MANANG,More pulses
MANANG_S1.2_P3123_R1,MANANG,Baseline (Dec 5 N)
MANANG_S12_P0000_R2,MANANG,Responsive: Adviser (risk-neutral)
MANANG_S6_P1111_R3,MANANG,Continous wheat
MANANG_S10.1_P3123_R1,MANANG,Companion cropping (Nil N intercrop)
MANANG_S12_P0000_R4,MANANG,Responsive: Adviser (risk-neutral)
MANANG_S7_P3123_R1,MANANG,Fallow
MANANG_S4_P3412_R2,MANANG,Pulse-canola
MANANG_S13_P0000_R7,MANANG,Responsive: N bank
MANANG_S13_P0000_R4,MANANG,Responsive: N bank
MANANG_S2_P2121_R3,MANANG,More pulses
MANANG_S1.1_P2312_R3,MANANG,Baseline (SDP N)
MANANG_S5_P2341_R1,MANANG,More cereals
MANANG_S4_P3412_R3,MANANG,Pulse-canola
MANANG_S9_P3123_R3,MANANG,Hay
MANANG_S8.1_P2312_R1,MANANG,Winter cover cropping (Early TOT)
MANANG_S2_P2121_R2,MANANG,More pulses
MANANG_S13_P0000_R3,MANANG,Responsive: N bank
MANANG_S3_P2312_R3,MANANG,Pulse on pulse
MANANG_S1.2_P1231_R1,MANANG,Baseline (Dec 5 N)
MANANG_S10.1_P2312_R1,MANANG,Companion cropping (Nil N intercrop)
MANANG_S2_P2121_R1,MANANG,More pulses
MANANG_S12_P0000_R8,MANANG,Responsive: Adviser (risk-neutral)
MANANG_S8.2_P1231_R3,MANANG,Winter cover cropping (Late TOT)
MANANG_S8.2_P3123_R2,MANANG,Winter cover cropping (Late TOT)
MANANG_S9_P2312_R2,MANANG,Hay
MANANG_S13_P0000_R2,MANANG,Responsive: N bank
MANANG_S7_P1231_R1,MANANG,Fallow
MANANG_S1.3_P1231_R2,MANANG,Baseline (Dec 9 N)
MANANG_S2_P1212_R1,MANANG,More pulses
MANANG_S11_P2121_R2,MANANG,Companion cropping frequent
MANANG_S5_P4123_R2,MANANG,More cereals
MANANG_S13_P0000_R8,MANANG,Responsive: N bank
MANANG_S1.2_P3123_R3,MANANG,Baseline (Dec 5 N)
MANANG_S10.1_P2312_R2,MANANG,Companion cropping (Nil N intercrop)
MANANG_S6_P1111_R6,MANANG,Continous wheat
WALLUP_S1_P2312_R2,WALLUP,Baseline
WALLUP_S2_P1234_R3,WALLUP,Pulse-canola
WALLUP_S5_P0000_R2,WALLUP,Responsive: Adviser (risk-neutral)
WALLUP_S3_P2341_R2,WALLUP,Winter cover cropping
WALLUP_S2_P2341_R2,WALLUP,Pulse-canola
WALLUP_S2_P2341_R3,WALLUP,Pulse-canola
WALLUP_S1_P1231_R1,WALLUP,Baseline
WALLUP_S2_P4123_R1,WALLUP,Pulse-canola
WALLUP_S1_P3123_R1,WALLUP,Baseline
WALLUP_S4_P1231_R1,WALLUP,Companion cropping
WALLUP_S3_P3412_R3,WALLUP,Winter cover cropping
WALLUP_S3_P2341_R1,WALLUP,Winter cover cropping
WALLUP_S2_P3412_R2,WALLUP,Pulse-canola
WALLUP_S3_P1234_R1,WALLUP,Winter cover cropping
WALLUP_S1_P3123_R2,WALLUP,Baseline
WALLUP_S4_P2312_R3,WALLUP,Companion cropping
WALLUP_S6_P0000_R3,WALLUP,Responsive: N bank
WALLUP_S3_P1234_R3,WALLUP,Winter cover cropping
WALLUP_S1_P3123_R3,WALLUP,Baseline
WALLUP_S4_P3123_R3,WALLUP,Companion cropping
WALLUP_S1_P2312_R3,WALLUP,Baseline
WALLUP_S2_P2341_R1,WALLUP,Pulse-canola
WALLUP_S2_P1234_R2,WALLUP,Pulse-canola
WALLUP_S4_P1231_R3,WALLUP,Companion cropping
WALLUP_S2_P4123_R3,WALLUP,Pulse-canola
WALLUP_S1_P1231_R3,WALLUP,Baseline
WALLUP_S3_P3412_R1,WALLUP,Winter cover cropping
WALLUP_S3_P3412_R2,WALLUP,Winter cover cropping
WALLUP_S2_P4123_R2,WALLUP,Pulse-canola
WALLUP_S2_P3412_R3,WALLUP,Pulse-canola
WALLUP_S5_P0000_R3,WALLUP,Responsive: Adviser (risk-neutral)
WALLUP_S4_P3123_R2,WALLUP,Companion cropping
WALLUP_S2_P1234_R1,WALLUP,Pulse-canola
WALLUP_S3_P1234_R2,WALLUP,Winter cover cropping
WALLUP_S3_P4123_R1,WALLUP,Winter cover cropping
WALLUP_S3_P4123_R2,WALLUP,Winter cover cropping
WALLUP_S3_P4123_R3,WALLUP,Winter cover cropping
WALLUP_S4_P3123_R1,WALLUP,Companion cropping
WALLUP_S4_P1231_R2,WALLUP,Companion cropping
WALLUP_S4_P2312_R1,WALLUP,Companion cropping
WALLUP_S5_P0000_R1,WALLUP,Responsive: Adviser (risk-neutral)
WALLUP_S4_P2312_R2,WALLUP,Companion cropping
WALLUP_S2_P3412_R1,WALLUP,Pulse-canola
WALLUP_S1_P2312_R1,WALLUP,Baseline
WALLUP_S6_P0000_R1,WALLUP,Responsive: N bank
WALLUP_S3_P2341_R3,WALLUP,Winter cover cropping
WALLUP_S1_P1231_R2,WALLUP,Baseline
WALLUP_S6_P0000_R2,WALLUP,Responsive: N bank
EDILLILIE_S2.2_P2341_R3,EDILLILIE,Alternative pulse (Dec 7 N)
EDILLILIE_S2.2_P3412_R1,EDILLILIE,Alternative pulse (Dec 7 N)
EDILLILIE_S1.3_P2121_R1,EDILLILIE,Baseline (Dec 7 N)
EDILLILIE_S1.3_P2121_R3,EDILLILIE,Baseline (Dec 7 N)
EDILLILIE_S2.2_P3412_R2,EDILLILIE,Alternative pulse (Dec 7 N)
