PLOT_ID,Site,System ID,Phase ID,Replicate ID,System detailed description,System category
EDILLILIE_S2.2_P4123_R2,EDILLILIE,S2.2,P4123,R2,,Alternative pulse (Dec 7 N)
EDILLILIE_S2.2_P4123_R3,EDILLILIE,S2.2,P4123,R3,,Alternative pulse (Dec 7 N)
EDILLILIE_S3_P1234_R1,EDILLILIE,S3,P1234,R1,,Pulse-canola
EDILLILIE_S3_P1234_R2,EDILLILIE,S3,P1234,R2,,Pulse-canola
EDILLILIE_S3_P1234_R3,EDILLILIE,S3,P1234,R3,,Pulse-canola
EDILLILIE_S3_P2341_R1,EDILLILIE,S3,P2341,R1,,Pulse-canola
EDILLILIE_S3_P2341_R2,EDILLILIE,S3,P2341,R2,,Pulse-canola
EDILLILIE_S3_P2341_R3,EDILLILIE,S3,P2341,R3,,Pulse-canola
EDILLILIE_S3_P3412_R1,EDILLILIE,S3,P3412,R1,,Pulse-canola
EDILLILIE_S3_P3412_R2,EDILLILIE,S3,P3412,R2,,Pulse-canola
EDILLILIE_S3_P3412_R3,EDILLILIE,S3,P3412,R3,,Pulse-canola
EDILLILIE_S3_P4123_R1,EDILLILIE,S3,P4123,R1,,Pulse-canola
EDILLILIE_S3_P4123_R2,EDILLILIE,S3,P4123,R2,,Pulse-canola
EDILLILIE_S3_P4123_R3,EDILLILIE,S3,P4123,R3,,Pulse-canola
HART_S1.1_P1231_R1,HART,S1.1,P1231,R1,,Baseline (SDP N)
HART_S1.1_P1231_R2,HART,S1.1,P1231,R2,,Baseline (SDP N)
HART_S1.1_P1231_R3,HART,S1.1,P1231,R3,,Baseline (SDP N)
HART_S1.1_P2312_R1,HART,S1.1,P2312,R1,,Baseline (SDP N)
HART_S1.1_P2312_R2,HART,S1.1,P2312,R2,,Baseline (SDP N)
HART_S1.1_P2312_R3,HART,S1.1,P2312,R3,,Baseline (SDP N)
HART_S1.1_P3123_R1,HART,S1.1,P3123,R1,,Baseline (SDP N)
HART_S1.1_P3123_R2,HART,S1.1,P3123,R2,,Baseline (SDP N)
HART_S1.1_P3123_R3,HART,S1.1,P3123,R3,,Baseline (SDP N)
HART_S1.2_P1231_R1,HART,S1.2,P1231,R1,,Baseline (Mid N)
HART_S1.2_P1231_R2,HART,S1.2,P1231,R2,,Baseline (Mid N)
HART_S1.2_P1231_R3,HART,S1.2,P1231,R3,,Baseline (Mid N)
HART_S1.2_P2312_R1,HART,S1.2,P2312,R1,,Baseline (Mid N)
HART_S1.2_P2312_R2,HART,S1.2,P2312,R2,,Baseline (Mid N)
HART_S1.2_P2312_R3,HART,S1.2,P2312,R3,,Baseline (Mid N)
HART_S1.2_P3123_R1,HART,S1.2,P3123,R1,,Baseline (Mid N)
HART_S1.2_P3123_R2,HART,S1.2,P3123,R2,,Baseline (Mid N)
HART_S1.2_P3123_R3,HART,S1.2,P3123,R3,,Baseline (Mid N)
HART_S1.3_P1231_R1,HART,S1.3,P1231,R1,,Baseline (SDP High N)
HART_S1.3_P1231_R2,HART,S1.3,P1231,R2,,Baseline (SDP High N)
HART_S1.3_P1231_R3,HART,S1.3,P1231,R3,,Baseline (SDP High N)
HART_S1.3_P2312_R1,HART,S1.3,P2312,R1,,Baseline (SDP High N)
HART_S1.3_P2312_R2,HART,S1.3,P2312,R2,,Baseline (SDP High N)
HART_S1.3_P2312_R3,HART,S1.3,P2312,R3,,Baseline (SDP High N)
HART_S1.3_P3123_R1,HART,S1.3,P3123,R1,,Baseline (SDP High N)
HART_S1.3_P3123_R2,HART,S1.3,P3123,R2,,Baseline (SDP High N)
HART_S1.3_P3123_R3,HART,S1.3,P3123,R3,,Baseline (SDP High N)
HART_S10.1_P1231_R1,HART,S10.1,P1231,R1,,Intercropping (Nil N intercrop)
HART_S10.1_P1231_R2,HART,S10.1,P1231,R2,,Intercropping (Nil N intercrop)
HART_S10.1_P1231_R3,HART,S10.1,P1231,R3,,Intercropping (Nil N intercrop)
HART_S10.1_P2312_R1,HART,S10.1,P2312,R1,,Intercropping (Nil N intercrop)
HART_S10.1_P2312_R2,HART,S10.1,P2312,R2,,Intercropping (Nil N intercrop)
HART_S10.1_P2312_R3,HART,S10.1,P2312,R3,,Intercropping (Nil N intercrop)
HART_S10.1_P3123_R1,HART,S10.1,P3123,R1,,Intercropping (Nil N intercrop)
HART_S10.1_P3123_R2,HART,S10.1,P3123,R2,,Intercropping (Nil N intercrop)
HART_S10.1_P3123_R3,HART,S10.1,P3123,R3,,Intercropping (Nil N intercrop)
HART_S10.2_P1231_R1,HART,S10.2,P1231,R1,,Intercropping (Half N intercrop)
HART_S10.2_P1231_R2,HART,S10.2,P1231,R2,,Intercropping (Half N intercrop)
HART_S10.2_P1231_R3,HART,S10.2,P1231,R3,,Intercropping (Half N intercrop)
HART_S10.2_P2312_R1,HART,S10.2,P2312,R1,,Intercropping (Half N intercrop)
HART_S10.2_P2312_R2,HART,S10.2,P2312,R2,,Intercropping (Half N intercrop)
HART_S10.2_P2312_R3,HART,S10.2,P2312,R3,,Intercropping (Half N intercrop)
HART_S10.2_P3123_R1,HART,S10.2,P3123,R1,,Intercropping (Half N intercrop)
HART_S10.2_P3123_R2,HART,S10.2,P3123,R2,,Intercropping (Half N intercrop)
HART_S10.2_P3123_R3,HART,S10.2,P3123,R3,,Intercropping (Half N intercrop)
HART_S10.3_P1231_R1,HART,S10.3,P1231,R1,,Intercropping (Full N intercrop)
HART_S10.3_P1231_R2,HART,S10.3,P1231,R2,,Intercropping (Full N intercrop)
HART_S10.3_P1231_R3,HART,S10.3,P1231,R3,,Intercropping (Full N intercrop)
HART_S10.3_P2312_R1,HART,S10.3,P2312,R1,,Intercropping (Full N intercrop)
HART_S10.3_P2312_R2,HART,S10.3,P2312,R2,,Intercropping (Full N intercrop)
HART_S10.3_P2312_R3,HART,S10.3,P2312,R3,,Intercropping (Full N intercrop)
HART_S10.3_P3123_R1,HART,S10.3,P3123,R1,,Intercropping (Full N intercrop)
HART_S10.3_P3123_R2,HART,S10.3,P3123,R2,,Intercropping (Full N intercrop)
HART_S10.3_P3123_R3,HART,S10.3,P3123,R3,,Intercropping (Full N intercrop)
HART_S2.1_P0000_R1,HART,S2.1,P0000,R1,,Responsive: Adviser (risk-neutral) (Low N)
HART_S2.1_P0000_R2,HART,S2.1,P0000,R2,,Responsive: Adviser (risk-neutral) (Low N)
HART_S2.1_P0000_R3,HART,S2.1,P0000,R3,,Responsive: Adviser (risk-neutral) (Low N)
HART_S2.2_P0000_R1,HART,S2.2,P0000,R1,,Responsive: Adviser (risk-neutral) (Mid N)
HART_S2.2_P0000_R2,HART,S2.2,P0000,R2,,Responsive: Adviser (risk-neutral) (Mid N)
HART_S2.2_P0000_R3,HART,S2.2,P0000,R3,,Responsive: Adviser (risk-neutral) (Mid N)
HART_S2.3_P0000_R1,HART,S2.3,P0000,R1,,Responsive: Adviser (risk-neutral) (High N)
HART_S2.3_P0000_R2,HART,S2.3,P0000,R2,,Responsive: Adviser (risk-neutral) (High N)
HART_S2.3_P0000_R3,HART,S2.3,P0000,R3,,Responsive: Adviser (risk-neutral) (High N)
HART_S3_P1234_R1,HART,S3,P1234,R1,,More pulses
HART_S3_P1234_R2,HART,S3,P1234,R2,,More pulses
HART_S3_P1234_R3,HART,S3,P1234,R3,,More pulses
HART_S3_P2341_R1,HART,S3,P2341,R1,,More pulses
HART_S3_P2341_R2,HART,S3,P2341,R2,,More pulses
HART_S3_P2341_R3,HART,S3,P2341,R3,,More pulses
HART_S3_P3412_R1,HART,S3,P3412,R1,,More pulses
HART_S3_P3412_R2,HART,S3,P3412,R2,,More pulses
HART_S3_P3412_R3,HART,S3,P3412,R3,,More pulses
HART_S3_P4123_R1,HART,S3,P4123,R1,,More pulses
HART_S3_P4123_R2,HART,S3,P4123,R2,,More pulses
HART_S3_P4123_R3,HART,S3,P4123,R3,,More pulses
HART_S4.1_P1234_R1,HART,S4.1,P1234,R1,,Canola (Low N)
HART_S4.1_P1234_R2,HART,S4.1,P1234,R2,,Canola (Low N)
HART_S4.1_P1234_R3,HART,S4.1,P1234,R3,,Canola (Low N)
HART_S4.1_P2341_R1,HART,S4.1,P2341,R1,,Canola (Low N)
HART_S4.1_P2341_R2,HART,S4.1,P2341,R2,,Canola (Low N)
HART_S4.1_P2341_R3,HART,S4.1,P2341,R3,,Canola (Low N)
HART_S4.1_P3412_R1,HART,S4.1,P3412,R1,,Canola (Low N)
HART_S4.1_P3412_R2,HART,S4.1,P3412,R2,,Canola (Low N)
HART_S4.1_P3412_R3,HART,S4.1,P3412,R3,,Canola (Low N)
HART_S4.1_P4123_R1,HART,S4.1,P4123,R1,,Canola (Low N)
HART_S4.1_P4123_R2,HART,S4.1,P4123,R2,,Canola (Low N)
HART_S4.1_P4123_R3,HART,S4.1,P4123,R3,,Canola (Low N)
HART_S4.2_P1234_R1,HART,S4.2,P1234,R1,,Canola (Mid N)
HART_S4.2_P1234_R2,HART,S4.2,P1234,R2,,Canola (Mid N)
HART_S4.2_P1234_R3,HART,S4.2,P1234,R3,,Canola (Mid N)
HART_S4.2_P2341_R1,HART,S4.2,P2341,R1,,Canola (Mid N)
HART_S4.2_P2341_R2,HART,S4.2,P2341,R2,,Canola (Mid N)
HART_S4.2_P2341_R3,HART,S4.2,P2341,R3,,Canola (Mid N)
HART_S4.2_P3412_R1,HART,S4.2,P3412,R1,,Canola (Mid N)
HART_S4.2_P3412_R2,HART,S4.2,P3412,R2,,Canola (Mid N)
HART_S4.2_P3412_R3,HART,S4.2,P3412,R3,,Canola (Mid N)
HART_S4.2_P4123_R1,HART,S4.2,P4123,R1,,Canola (Mid N)
HART_S4.2_P4123_R2,HART,S4.2,P4123,R2,,Canola (Mid N)
HART_S4.2_P4123_R3,HART,S4.2,P4123,R3,,Canola (Mid N)
HART_S4.3_P1234_R1,HART,S4.3,P1234,R1,,Canola (High N)
HART_S4.3_P1234_R2,HART,S4.3,P1234,R2,,Canola (High N)
HART_S4.3_P1234_R3,HART,S4.3,P1234,R3,,Canola (High N)
HART_S4.3_P2341_R1,HART,S4.3,P2341,R1,,Canola (High N)
HART_S4.3_P2341_R2,HART,S4.3,P2341,R2,,Canola (High N)
HART_S4.3_P2341_R3,HART,S4.3,P2341,R3,,Canola (High N)
HART_S4.3_P3412_R1,HART,S4.3,P3412,R1,,Canola (High N)
HART_S4.3_P3412_R2,HART,S4.3,P3412,R2,,Canola (High N)
HART_S4.3_P3412_R3,HART,S4.3,P3412,R3,,Canola (High N)
HART_S4.3_P4123_R1,HART,S4.3,P4123,R1,,Canola (High N)
HART_S4.3_P4123_R2,HART,S4.3,P4123,R2,,Canola (High N)
HART_S4.3_P4123_R3,HART,S4.3,P4123,R3,,Canola (High N)
HART_S5_P0000_R1,HART,S5,P0000,R1,,Responsive: Adviser (risk-tolerant)
HART_S5_P0000_R2,HART,S5,P0000,R2,,Responsive: Adviser (risk-tolerant)
HART_S5_P0000_R3,HART,S5,P0000,R3,,Responsive: Adviser (risk-tolerant)
HART_S5_P0000_R4,HART,S5,P0000,R4,,Responsive: Adviser (risk-tolerant)
HART_S5_P0000_R5,HART,S5,P0000,R5,,Responsive: Adviser (risk-tolerant)
HART_S5_P0000_R6,HART,S5,P0000,R6,,Responsive: Adviser (risk-tolerant)
HART_S5_P0000_R7,HART,S5,P0000,R7,,Responsive: Adviser (risk-tolerant)
HART_S5_P0000_R8,HART,S5,P0000,R8,,Responsive: Adviser (risk-tolerant)
HART_S5_P0000_R9,HART,S5,P0000,R9,,Responsive: Adviser (risk-tolerant)
HART_S6_P1234_R1,HART,S6,P1234,R1,,Pulse-canola
HART_S6_P1234_R2,HART,S6,P1234,R2,,Pulse-canola
HART_S6_P1234_R3,HART,S6,P1234,R3,,Pulse-canola
HART_S6_P2341_R1,HART,S6,P2341,R1,,Pulse-canola
HART_S6_P2341_R2,HART,S6,P2341,R2,,Pulse-canola
HART_S6_P2341_R3,HART,S6,P2341,R3,,Pulse-canola
HART_S6_P3412_R1,HART,S6,P3412,R1,,Pulse-canola
HART_S6_P3412_R2,HART,S6,P3412,R2,,Pulse-canola
HART_S6_P3412_R3,HART,S6,P3412,R3,,Pulse-canola
HART_S6_P4123_R1,HART,S6,P4123,R1,,Pulse-canola
HART_S6_P4123_R2,HART,S6,P4123,R2,,Pulse-canola
HART_S6_P4123_R3,HART,S6,P4123,R3,,Pulse-canola
HART_S7_P1234_R1,HART,S7,P1234,R1,,Pulse on pulse
HART_S7_P1234_R2,HART,S7,P1234,R2,,Pulse on pulse
HART_S7_P1234_R3,HART,S7,P1234,R3,,Pulse on pulse
HART_S7_P2341_R1,HART,S7,P2341,R1,,Pulse on pulse
HART_S7_P2341_R2,HART,S7,P2341,R2,,Pulse on pulse
HART_S7_P2341_R3,HART,S7,P2341,R3,,Pulse on pulse
HART_S7_P3412_R1,HART,S7,P3412,R1,,Pulse on pulse
HART_S7_P3412_R2,HART,S7,P3412,R2,,Pulse on pulse
HART_S7_P3412_R3,HART,S7,P3412,R3,,Pulse on pulse
HART_S7_P4123_R1,HART,S7,P4123,R1,,Pulse on pulse
HART_S7_P4123_R2,HART,S7,P4123,R2,,Pulse on pulse
HART_S7_P4123_R3,HART,S7,P4123,R3,,Pulse on pulse
HART_S8_P1234_R1,HART,S8,P1234,R1,,More cereals
HART_S8_P1234_R2,HART,S8,P1234,R2,,More cereals
HART_S8_P1234_R3,HART,S8,P1234,R3,,More cereals
HART_S8_P2341_R1,HART,S8,P2341,R1,,More cereals
HART_S8_P2341_R2,HART,S8,P2341,R2,,More cereals
HART_S8_P2341_R3,HART,S8,P2341,R3,,More cereals
HART_S8_P3412_R1,HART,S8,P3412,R1,,More cereals
HART_S8_P3412_R2,HART,S8,P3412,R2,,More cereals
HART_S8_P3412_R3,HART,S8,P3412,R3,,More cereals
HART_S8_P4123_R1,HART,S8,P4123,R1,,More cereals
HART_S8_P4123_R2,HART,S8,P4123,R2,,More cereals
HART_S8_P4123_R3,HART,S8,P4123,R3,,More cereals
HART_S9_P1234_R1,HART,S9,P1234,R1,,Winter cover cropping
HART_S9_P1234_R2,HART,S9,P1234,R2,,Winter cover cropping
HART_S9_P1234_R3,HART,S9,P1234,R3,,Winter cover cropping
HART_S9_P2341_R1,HART,S9,P2341,R1,,Winter cover cropping
HART_S9_P2341_R2,HART,S9,P2341,R2,,Winter cover cropping
HART_S9_P2341_R3,HART,S9,P2341,R3,,Winter cover cropping
HART_S9_P3412_R1,HART,S9,P3412,R1,,Winter cover cropping
HART_S9_P3412_R2,HART,S9,P3412,R2,,Winter cover cropping
HART_S9_P3412_R3,HART,S9,P3412,R3,,Winter cover cropping
HART_S9_P4123_R1,HART,S9,P4123,R1,,Winter cover cropping
HART_S9_P4123_R2,HART,S9,P4123,R2,,Winter cover cropping
HART_S9_P4123_R3,HART,S9,P4123,R3,,Winter cover cropping
KINNABULLA_S1.1_P1231_R1,KINNABULLA,S1.1,P1231,R1,,Baseline (SDP N)
KINNABULLA_S1.1_P1231_R2,KINNABULLA,S1.1,P1231,R2,,Baseline (SDP N)
KINNABULLA_S1.1_P1231_R3,KINNABULLA,S1.1,P1231,R3,,Baseline (SDP N)
KINNABULLA_S1.1_P2312_R1,KINNABULLA,S1.1,P2312,R1,,Baseline (SDP N)
KINNABULLA_S1.1_P2312_R2,KINNABULLA,S1.1,P2312,R2,,Baseline (SDP N)
KINNABULLA_S1.1_P2312_R3,KINNABULLA,S1.1,P2312,R3,,Baseline (SDP N)
KINNABULLA_S1.1_P3123_R1,KINNABULLA,S1.1,P3123,R1,,Baseline (SDP N)
KINNABULLA_S1.1_P3123_R2,KINNABULLA,S1.1,P3123,R2,,Baseline (SDP N)
KINNABULLA_S1.1_P3123_R3,KINNABULLA,S1.1,P3123,R3,,Baseline (SDP N)
KINNABULLA_S1.2_P1231_R1,KINNABULLA,S1.2,P1231,R1,,Baseline (Dec 5 N)
KINNABULLA_S1.2_P1231_R2,KINNABULLA,S1.2,P1231,R2,,Baseline (Dec 5 N)
KINNABULLA_S1.2_P1231_R3,KINNABULLA,S1.2,P1231,R3,,Baseline (Dec 5 N)
KINNABULLA_S1.2_P2312_R1,KINNABULLA,S1.2,P2312,R1,,Baseline (Dec 5 N)
KINNABULLA_S1.2_P2312_R2,KINNABULLA,S1.2,P2312,R2,,Baseline (Dec 5 N)
KINNABULLA_S1.2_P2312_R3,KINNABULLA,S1.2,P2312,R3,,Baseline (Dec 5 N)
KINNABULLA_S1.2_P3123_R1,KINNABULLA,S1.2,P3123,R1,,Baseline (Dec 5 N)
KINNABULLA_S1.2_P3123_R2,KINNABULLA,S1.2,P3123,R2,,Baseline (Dec 5 N)
KINNABULLA_S1.2_P3123_R3,KINNABULLA,S1.2,P3123,R3,,Baseline (Dec 5 N)
KINNABULLA_S1.3_P1231_R1,KINNABULLA,S1.3,P1231,R1,,Baseline (Dec 9 N)
KINNABULLA_S1.3_P1231_R2,KINNABULLA,S1.3,P1231,R2,,Baseline (Dec 9 N)
KINNABULLA_S1.3_P1231_R3,KINNABULLA,S1.3,P1231,R3,,Baseline (Dec 9 N)
KINNABULLA_S1.3_P2312_R1,KINNABULLA,S1.3,P2312,R1,,Baseline (Dec 9 N)
KINNABULLA_S1.3_P2312_R2,KINNABULLA,S1.3,P2312,R2,,Baseline (Dec 9 N)
KINNABULLA_S1.3_P2312_R3,KINNABULLA,S1.3,P2312,R3,,Baseline (Dec 9 N)
KINNABULLA_S1.3_P3123_R1,KINNABULLA,S1.3,P3123,R1,,Baseline (Dec 9 N)
KINNABULLA_S1.3_P3123_R2,KINNABULLA,S1.3,P3123,R2,,Baseline (Dec 9 N)
KINNABULLA_S1.3_P3123_R3,KINNABULLA,S1.3,P3123,R3,,Baseline (Dec 9 N)
KINNABULLA_S10_P1231_R1,KINNABULLA,S10,P1231,R1,,Alternative winter cover cropping
KINNABULLA_S10_P1231_R2,KINNABULLA,S10,P1231,R2,,Alternative winter cover cropping
KINNABULLA_S10_P1231_R3,KINNABULLA,S10,P1231,R3,,Alternative winter cover cropping
KINNABULLA_S10_P2312_R1,KINNABULLA,S10,P2312,R1,,Alternative winter cover cropping
KINNABULLA_S10_P2312_R2,KINNABULLA,S10,P2312,R2,,Alternative winter cover cropping
KINNABULLA_S10_P2312_R3,KINNABULLA,S10,P2312,R3,,Alternative winter cover cropping
KINNABULLA_S10_P3123_R1,KINNABULLA,S10,P3123,R1,,Alternative winter cover cropping
KINNABULLA_S10_P3123_R2,KINNABULLA,S10,P3123,R2,,Alternative winter cover cropping
KINNABULLA_S10_P3123_R3,KINNABULLA,S10,P3123,R3,,Alternative winter cover cropping
KINNABULLA_S11_P1231_R1,KINNABULLA,S11,P1231,R1,,Mixed winter cover crop
KINNABULLA_S11_P1231_R2,KINNABULLA,S11,P1231,R2,,Mixed winter cover crop
KINNABULLA_S11_P1231_R3,KINNABULLA,S11,P1231,R3,,Mixed winter cover crop
KINNABULLA_S11_P2312_R1,KINNABULLA,S11,P2312,R1,,Mixed winter cover crop
KINNABULLA_S11_P2312_R2,KINNABULLA,S11,P2312,R2,,Mixed winter cover crop
KINNABULLA_S11_P2312_R3,KINNABULLA,S11,P2312,R3,,Mixed winter cover crop
KINNABULLA_S11_P3123_R1,KINNABULLA,S11,P3123,R1,,Mixed winter cover crop
KINNABULLA_S11_P3123_R2,KINNABULLA,S11,P3123,R2,,Mixed winter cover crop
KINNABULLA_S11_P3123_R3,KINNABULLA,S11,P3123,R3,,Mixed winter cover crop
KINNABULLA_S12_P0000_R1,KINNABULLA,S12,P0000,R1,,Responsive: Adviser (risk-neutral)
KINNABULLA_S12_P0000_R2,KINNABULLA,S12,P0000,R2,,Responsive: Adviser (risk-neutral)
KINNABULLA_S12_P0000_R3,KINNABULLA,S12,P0000,R3,,Responsive: Adviser (risk-neutral)
KINNABULLA_S12_P0000_R4,KINNABULLA,S12,P0000,R4,,Responsive: Adviser (risk-neutral)
