,plotID,year,month,day,crop1Name,crop2Name,crop3Name,crop1Variety_x,crop2Variety_x,crop3Variety_x,seedTreatment1Bool_x,seedTreatment2Bool_x,seedTreatment3Bool_x,sowingReason_x,crop1SowingDensity_x,crop2SowingDensity_x,crop3SowingDensity_x,crop1SowingDepth_x,crop2SowingDepth_x,crop3SowingDepth_x,sowingTimelinessDescription_x,comments,site,activity_type,date,costs_activity_dollars,costs_product_applied_dollars,revenue_crops_dollars,harvestOutcome_x,harvestReason_x,crop1Yield_x,crop2Yield_x,crop3Yield_x,terminationState_x,crop1Variety_y,crop2Variety_y,crop3Variety_y,seedTreatment1Bool_y,seedTreatment2Bool_y,seedTreatment3Bool_y,sowingReason_y,crop1SowingDensity_y,crop2SowingDensity_y,crop3SowingDensity_y,crop1SowingDepth_y,crop2SowingDepth_y,crop3SowingDepth_y,sowingTimelinessDescription_y,harvestOutcome_y,harvestReason_y,crop1Yield_y,crop2Yield_y,crop3Yield_y,terminationState_y,crop1Variety,crop2Variety,crop3Variety,seedTreatment1Bool,seedTreatment2Bool,seedTreatment3Bool,sowingReason,crop1SowingDensity,crop2SowingDensity,crop3SowingDensity,crop1SowingDepth,crop2SowingDepth,crop3SowingDepth,sowingTimelinessDescription,harvestOutcome,harvestReason,crop1Yield,crop2Yield,crop3Yield,terminationState,name,unitsAppliedKgOrLitres,appliedAmount,targetPest_x,targetPest_y,targetPest
29,EDILLILIE_S1.1_P1212_R1,2023,6,29,,,,,,,,,,,,,,,,,,"3L/ha applied as foliar spray, in line with district practice",edillilie,fertiliser,2023-06-29,8.5,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Smart Trace Triple,L,3.0,,,
30,EDILLILIE_S1.1_P1212_R1,2023,7,12,,,,,,,,,,,,,,,,,,100kg/ha applied at top dressing - stem elongation,edillilie,fertiliser,2023-07-12,8.5,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urea,kg,100.0,,,
31,EDILLILIE_S1.1_P1212_R1,2023,7,24,,,,,,,,,,,,,,,,,,0.6L/ha applied - Prophylactic control of UCI Blackleg in line with district practice. ,edillilie,fungicide,2023-07-24,11.0,32.699999999999996,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aviator Xpro,L,0.6,,,
32,EDILLILIE_S1.1_P1212_R1,2023,9,11,,,,,,,,,,,,,,,,,,0.1L/ha applied to control of native budworm ,edillilie,pesticide,2023-09-11,11.0,13.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alpha-scud,L,0.1,faw,,
33,EDILLILIE_S1.1_P1212_R1,2023,12,21,,,,,,,,,,,,,,,,,,0.5L/ha applied to control of summer weeds and volunteer crop as per district practice ,edillilie,herbicide,2023-12-21,11.0,2.95,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,4-D",L,0.5,,,
34,EDILLILIE_S1.1_P1212_R1,2023,12,21,,,,,,,,,,,,,,,,,,1.5L/ha applied to control of summer weeds and volunteer crop as per district practice ,edillilie,herbicide,2023-12-21,11.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roundup,L,1.5,,,
35,EDILLILIE_S1.1_P1212_R2,2023,5,12,,,,,,,,,,,,,,,,,,0.075L/ha applied spike to glyphosate to help control broadleaf weeds. Pre-sow knockdown,edillilie,herbicide,2023-05-12,11.0,1.182,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oxyflurfen,L,0.075,,,
36,EDILLILIE_S1.1_P1212_R2,2023,5,12,,,,,,,,,,,,,,,,,,1.5L/ha applied pre-em control wireweed and ryegrass,edillilie,herbicide,2023-05-12,11.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trifluralin ,L,1.5,,,
37,EDILLILIE_S1.1_P1212_R2,2023,5,12,,,,,,,,,,,,,,,,,,"150kg/ha applied at sowing, Impact fungicide applied for early fungal disease control ",edillilie,fertiliser,2023-05-12,8.5,97.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19:13:0:9,kg,150.0,,,
38,EDILLILIE_S1.1_P1212_R2,2023,5,12,,,,,,,,,,,,,,,,,,1L/ha applied pre-em control of ryegrass,edillilie,herbicide,2023-05-12,11.0,65.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rustler,L,1.0,,,
39,EDILLILIE_S1.1_P1212_R2,2023,5,12,,,,,,,,,,,,,,,,,,"2L/ha applied to volunteer canola, some small ryegrass. Pre-sow knockdown",edillilie,herbicide,2023-05-12,11.0,10.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glyphosate 540g/l,L,2.0,,,
40,EDILLILIE_S1.1_P1212_R2,2023,5,12,canola,,,nuseed emu tf,,,True,,,sale,50.0,,,20.0,,,On-time,,edillilie,sowing,2023-05-12,50.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,EDILLILIE_S1.1_P1212_R2,2023,5,18,,,,,,,,,,,,,,,,,,"1L/ha applied to control RLEM, Earwigs, slaters, millipedes",edillilie,pesticide,2023-05-18,11.0,11.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pyrenix Super ,L,1.0,faw,,
42,EDILLILIE_S1.1_P1212_R2,2023,5,29,,,,,,,,,,,,,,,,,,0.33L/ha applied post-em control of ryegrass GS 6 leaf ,edillilie,herbicide,2023-05-29,11.0,6.765000000000001,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clethodim,L,0.33,,,
43,EDILLILIE_S1.1_P1212_R2,2023,5,29,,,,,,,,,,,,,,,,,,1.5L/ha applied post-em control vol canola GS 6 leaf,edillilie,herbicide,2023-05-29,11.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crucial ,L,1.5,,,
44,EDILLILIE_S1.1_P1212_R2,2023,5,29,,,,,,,,,,,,,,,,,,"2kg/ha applied to control Slugs, earwigs, snails ",edillilie,pesticide,2023-05-29,11.0,44.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transcend,kg,2.0,faw,,
45,EDILLILIE_S1.1_P1212_R2,2023,6,1,Canola,,,,,,,,,,,,,,,,,,edillilie,termination,2023-06-01,80.0,0.0,937.976,success,sale,1508.0,,,stubble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,EDILLILIE_S1.1_P1212_R2,2023,6,20,,,,,,,,,,,,,,,,,,"100kg/ha applied at top dressing, all treatments, 4-6 leag",edillilie,fertiliser,2023-06-20,8.5,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urea,kg,100.0,,,
47,EDILLILIE_S1.1_P1212_R2,2023,6,29,,,,,,,,,,,,,,,,,,"3L/ha applied as foliar spray, in line with district practice",edillilie,fertiliser,2023-06-29,8.5,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Smart Trace Triple,L,3.0,,,
48,EDILLILIE_S1.1_P1212_R2,2023,7,12,,,,,,,,,,,,,,,,,,100kg/ha applied at top dressing - stem elongation,edillilie,fertiliser,2023-07-12,8.5,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urea,kg,100.0,,,
49,EDILLILIE_S1.1_P1212_R2,2023,7,24,,,,,,,,,,,,,,,,,,0.6L/ha applied - Prophylactic control of UCI Blackleg in line with district practice. ,edillilie,fungicide,2023-07-24,11.0,32.699999999999996,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aviator Xpro,L,0.6,,,
50,EDILLILIE_S1.1_P1212_R2,2023,9,11,,,,,,,,,,,,,,,,,,0.1L/ha applied to control of native budworm ,edillilie,pesticide,2023-09-11,11.0,13.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alpha-scud,L,0.1,faw,,
51,EDILLILIE_S1.1_P1212_R2,2023,12,21,,,,,,,,,,,,,,,,,,0.5L/ha applied to control of summer weeds and volunteer crop as per district practice ,edillilie,herbicide,2023-12-21,11.0,2.95,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,4-D",L,0.5,,,
52,EDILLILIE_S1.1_P1212_R2,2023,12,21,,,,,,,,,,,,,,,,,,1.5L/ha applied to control of summer weeds and volunteer crop as per district practice ,edillilie,herbicide,2023-12-21,11.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roundup,L,1.5,,,
53,EDILLILIE_S1.1_P1212_R3,2023,5,12,,,,,,,,,,,,,,,,,,0.075L/ha applied spike to glyphosate to help control broadleaf weeds. Pre-sow knockdown,edillilie,herbicide,2023-05-12,11.0,1.182,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oxyflurfen,L,0.075,,,
54,EDILLILIE_S1.1_P1212_R3,2023,5,12,,,,,,,,,,,,,,,,,,1.5L/ha applied pre-em control wireweed and ryegrass,edillilie,herbicide,2023-05-12,11.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trifluralin ,L,1.5,,,
55,EDILLILIE_S1.1_P1212_R3,2023,5,12,,,,,,,,,,,,,,,,,,"150kg/ha applied at sowing, Impact fungicide applied for early fungal disease control ",edillilie,fertiliser,2023-05-12,8.5,97.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19:13:0:9,kg,150.0,,,
56,EDILLILIE_S1.1_P1212_R3,2023,5,12,,,,,,,,,,,,,,,,,,1L/ha applied pre-em control of ryegrass,edillilie,herbicide,2023-05-12,11.0,65.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rustler,L,1.0,,,
57,EDILLILIE_S1.1_P1212_R3,2023,5,12,,,,,,,,,,,,,,,,,,"2L/ha applied to volunteer canola, some small ryegrass. Pre-sow knockdown",edillilie,herbicide,2023-05-12,11.0,10.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glyphosate 540g/l,L,2.0,,,
58,EDILLILIE_S1.1_P1212_R3,2023,5,12,canola,,,nuseed emu tf,,,True,,,sale,50.0,,,20.0,,,On-time,,edillilie,sowing,2023-05-12,50.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,EDILLILIE_S1.1_P1212_R3,2023,5,18,,,,,,,,,,,,,,,,,,"1L/ha applied to control RLEM, Earwigs, slaters, millipedes",edillilie,pesticide,2023-05-18,11.0,11.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pyrenix Super ,L,1.0,faw,,
60,EDILLILIE_S1.1_P1212_R3,2023,5,29,,,,,,,,,,,,,,,,,,0.33L/ha applied post-em control of ryegrass GS 6 leaf ,edillilie,herbicide,2023-05-29,11.0,6.765000000000001,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clethodim,L,0.33,,,
61,EDILLILIE_S1.1_P1212_R3,2023,5,29,,,,,,,,,,,,,,,,,,1.5L/ha applied post-em control vol canola GS 6 leaf,edillilie,herbicide,2023-05-29,11.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crucial ,L,1.5,,,
62,EDILLILIE_S1.1_P1212_R3,2023,5,29,,,,,,,,,,,,,,,,,,"2kg/ha applied to control Slugs, earwigs, snails ",edillilie,pesticide,2023-05-29,11.0,44.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transcend,kg,2.0,faw,,
63,EDILLILIE_S1.1_P1212_R3,2023,6,1,Canola,,,,,,,,,,,,,,,,,,edillilie,termination,2023-06-01,80.0,0.0,1053.046,success,sale,1693.0,,,stubble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,EDILLILIE_S1.1_P1212_R3,2023,6,20,,,,,,,,,,,,,,,,,,"100kg/ha applied at top dressing, all treatments, 4-6 leag",edillilie,fertiliser,2023-06-20,8.5,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urea,kg,100.0,,,
65,EDILLILIE_S1.1_P1212_R3,2023,6,29,,,,,,,,,,,,,,,,,,"3L/ha applied as foliar spray, in line with district practice",edillilie,fertiliser,2023-06-29,8.5,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Smart Trace Triple,L,3.0,,,
66,EDILLILIE_S1.1_P1212_R3,2023,7,12,,,,,,,,,,,,,,,,,,100kg/ha applied at top dressing - stem elongation,edillilie,fertiliser,2023-07-12,8.5,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urea,kg,100.0,,,
67,EDILLILIE_S1.1_P1212_R3,2023,7,24,,,,,,,,,,,,,,,,,,0.6L/ha applied - Prophylactic control of UCI Blackleg in line with district practice. ,edillilie,fungicide,2023-07-24,11.0,32.699999999999996,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aviator Xpro,L,0.6,,,
68,EDILLILIE_S1.1_P1212_R3,2023,9,11,,,,,,,,,,,,,,,,,,0.1L/ha applied to control of native budworm ,edillilie,pesticide,2023-09-11,11.0,13.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alpha-scud,L,0.1,faw,,
69,EDILLILIE_S1.1_P1212_R3,2023,12,21,,,,,,,,,,,,,,,,,,0.5L/ha applied to control of summer weeds and volunteer crop as per district practice ,edillilie,herbicide,2023-12-21,11.0,2.95,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,4-D",L,0.5,,,
70,EDILLILIE_S1.1_P1212_R3,2023,12,21,,,,,,,,,,,,,,,,,,1.5L/ha applied to control of summer weeds and volunteer crop as per district practice ,edillilie,herbicide,2023-12-21,11.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roundup,L,1.5,,,
71,EDILLILIE_S1.1_P2121_R2,2023,5,12,,,,,,,,,,,,,,,,,,0.075L/ha applied spike to glyphosate to help control broadleaf weeds. Pre-sow knockdown,edillilie,herbicide,2023-05-12,11.0,1.182,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oxyflurfen,L,0.075,,,
72,EDILLILIE_S1.1_P2121_R2,2023,5,12,,,,,,,,,,,,,,,,,,0.118kg/ha applied pre-em control of ryegrass,edillilie,herbicide,2023-05-12,11.0,40.4976,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sakura ,kg,0.118,,,
73,EDILLILIE_S1.1_P2121_R2,2023,5,12,,,,,,,,,,,,,,,,,,1.5L/ha applied pre-em control wireweed and ryegrass,edillilie,herbicide,2023-05-12,11.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trifluralin ,L,1.5,,,
74,EDILLILIE_S1.1_P2121_R2,2023,5,12,,,,,,,,,,,,,,,,,,"100kg/ha applied at sowing, Impact fungicide applied for early fungal disease control ",edillilie,fertiliser,2023-05-12,8.5,57.49999999999999,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAP,kg,100.0,,,
75,EDILLILIE_S1.1_P2121_R2,2023,5,12,,,,,,,,,,,,,,,,,,"2L/ha applied to volunteer canola, some small ryegrass. Pre-sow knockdown",edillilie,herbicide,2023-05-12,11.0,10.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glyphosate 540g/l,L,2.0,,,
